id,customer_id,type,currency,balance,opened_at
32,41,CREDIT,USD,34989.39,2023-09-22 00:05:00+0000
33,27,CHECKING,EUR,20773.09,2023-10-16 12:00:00+0000
34,19,SAVINGS,GBP,19527.17,2023-05-23 09:37:00+0000
35,24,CHECKING,USD,34178.53,2023-01-08 03:32:00+0000
36,29,SAVINGS,INR,3151.24,2023-10-13 07:12:00+0000
37,11,CREDIT,USD,46583.96,2023-02-24 13:53:00+0000
38,10,CHECKING,GBP,18620.64,2023-06-28 08:14:00+0000
39,35,CHECKING,EUR,13612.9,2023-08-15 05:50:00+0000
40,29,SAVINGS,USD,24089.57,2023-05-30 00:43:00+0000
41,47,CHECKING,USD,23272.12,2023-01-26 12:51:00+0000
42,57,CHECKING,GBP,515.06,2023-01-19 10:43:00+0000
43,47,SAVINGS,GBP,19594.51,2023-07-18 05:26:00+0000
44,6,CREDIT,GBP,20104.63,2024-01-10 06:07:00+0000
45,40,SAVINGS,GBP,39560.96,2023-06-06 01:42:00+0000
46,9,SAVINGS,EUR,33673.88,2024-01-19 15:42:00+0000
47,24,SAVINGS,USD,482.19,2023-12-24 03:49:00+0000
48,36,CREDIT,GBP,49415.47,2023-10-15 08:54:00+0000
49,23,CHECKING,INR,37270.54,2023-02-08 06:07:00+0000
50,40,SAVINGS,USD,5117.62,2023-11-08 05:03:00+0000
51,35,CREDIT,GBP,42133.89,2023-02-16 15:32:00+0000
52,32,CREDIT,INR,20225.84,2023-05-08 19:26:00+0000
53,4,CREDIT,GBP,28458.89,2024-01-25 19:56:00+0000
54,20,SAVINGS,INR,43388.39,2023-01-11 22:34:00+0000
55,60,CHECKING,INR,5641.58,2023-03-02 18:31:00+0000
56,42,CHECKING,USD,13776.65,2024-01-17 22:06:00+0000
57,14,SAVINGS,GBP,1351.48,2024-02-02 08:52:00+0000
58,59,CREDIT,EUR,11279.45,2023-11-27 14:20:00+0000
59,2,SAVINGS,USD,43596.36,2023-09-04 01:16:00+0000
60,23,SAVINGS,INR,30653.4,2023-11-24 12:34:00+0000
61,42,SAVINGS,GBP,21661.27,2023-09-17 08:28:00+0000
62,25,CHECKING,USD,27038.63,2024-01-10 09:29:00+0000
63,15,CHECKING,EUR,37822.29,2023-11-30 06:16:00+0000
64,28,CREDIT,INR,5204.26,2023-08-22 16:07:00+0000
65,37,CREDIT,EUR,28169.6,2023-07-02 17:13:00+0000
66,35,CREDIT,GBP,12771.62,2023-12-03 08:37:00+0000
67,6,SAVINGS,USD,14880.74,2023-11-23 13:19:00+0000
68,49,CHECKING,GBP,36047.78,2023-11-04 07:48:00+0000
69,36,CHECKING,USD,7286.53,2023-11-12 05:06:00+0000
70,51,CREDIT,INR,726.58,2023-01-20 17:31:00+0000
71,8,CHECKING,EUR,31226.9,2023-11-02 03:13:00+0000
72,22,CREDIT,INR,17596.82,2024-01-21 08:37:00+0000
73,11,CREDIT,USD,5765.75,2023-04-07 00:07:00+0000
74,59,CHECKING,GBP,38034.57,2023-08-31 15:41:00+0000
75,7,CHECKING,USD,4391.57,2023-09-21 10:58:00+0000
76,48,SAVINGS,USD,4556.7,2024-01-04 07:33:00+0000
77,40,SAVINGS,GBP,14339.68,2023-05-09 16:18:00+0000
78,30,CHECKING,USD,8691.4,2024-01-02 19:43:00+0000
79,45,CHECKING,USD,44751.06,2023-07-13 10:22:00+0000
80,39,SAVINGS,EUR,29351.24,2023-05-21 21:41:00+0000
81,49,CHECKING,INR,10349.88,2023-12-29 00:37:00+0000
82,56,CHECKING,USD,2205.49,2023-01-02 10:40:00+0000
83,8,CREDIT,USD,24229.79,2023-11-05 16:52:00+0000
84,30,CREDIT,GBP,48564.64,2023-08-04 04:24:00+0000
85,57,CHECKING,INR,19850.48,2024-01-19 16:18:00+0000
86,10,SAVINGS,EUR,16792.18,2023-01-05 02:07:00+0000
87,30,CREDIT,GBP,10825.76,2023-03-31 07:18:00+0000
88,53,CHECKING,GBP,49587.05,2023-06-07 03:52:00+0000
89,36,CREDIT,USD,16874.25,2023-05-20 22:49:00+0000
90,29,CHECKING,INR,2731.55,2023-12-05 19:05:00+0000
91,15,CHECKING,GBP,3266.85,2023-12-20 19:58:00+0000
92,14,CREDIT,GBP,9789.95,2023-09-20 04:15:00+0000
93,50,CHECKING,GBP,37041.04,2023-12-15 21:25:00+0000
94,38,CREDIT,USD,49292.51,2023-08-27 14:00:00+0000
95,6,CREDIT,USD,3871.67,2023-01-12 02:30:00+0000
96,25,CHECKING,USD,1959.56,2023-02-09 09:45:00+0000
97,42,CREDIT,GBP,7824.8,2023-02-19 07:15:00+0000
98,8,CREDIT,EUR,42703.63,2023-08-28 21:04:00+0000
99,46,CREDIT,EUR,45573.67,2023-10-11 09:47:00+0000
100,38,SAVINGS,EUR,23661.87,2023-03-28 09:38:00+0000
