id,sku,name,category,price,in_stock
64,SKU-00064,Compact Gadget,Electronics,393.3,True
65,SKU-00065,Compact Widget,Apparel,172.83,True
66,SKU-00066,Compact Bottle,Apparel,65.93,True
67,SKU-00067,Compact Charger,Apparel,415.61,True
68,SKU-00068,Pro Bottle,Electronics,451.07,True
69,SKU-00069,Compact Widget,Apparel,171.26,True
70,SKU-00070,Eco Gadget,Apparel,446.6,True
71,SKU-00071,Deluxe Widget,Books,462.85,True
72,SKU-00072,Pro Bottle,Electronics,173.93,False
73,SKU-00073,Pro Charger,Toys,447.92,True
74,SKU-00074,Compact Charger,Books,205.45,True
75,SKU-00075,Mini Widget,Home,348.26,True
76,SKU-00076,Deluxe Lamp,Electronics,256.71,False
77,SKU-00077,Mini Bottle,Grocery,386.72,True
78,SKU-00078,Eco Mug,Grocery,469.57,True
79,SKU-00079,Deluxe Gadget,Apparel,91.37,True
80,SKU-00080,Mini Gadget,Apparel,14.62,True
81,SKU-00081,Eco Mug,Apparel,72.15,True
82,SKU-00082,Deluxe Gadget,Toys,255.3,True
83,SKU-00083,Pro Gadget,Grocery,353.9,True
84,SKU-00084,Deluxe Gadget,Apparel,332.29,True
85,SKU-00085,Mini Lamp,Apparel,128.91,True
86,SKU-00086,Ultra Widget,Books,201.39,True
87,SKU-00087,Mini Bottle,Grocery,431.52,False
88,SKU-00088,Compact Mug,Grocery,259.93,True
89,SKU-00089,Deluxe Gadget,Home,172.38,False
90,SKU-00090,Deluxe Charger,Grocery,422.33,True
91,SKU-00091,Deluxe Gadget,Electronics,80.59,True
92,SKU-00092,Eco Widget,Grocery,469.78,True
93,SKU-00093,Ultra Widget,Electronics,240.0,True
94,SKU-00094,Ultra Bottle,Grocery,249.03,True
95,SKU-00095,Mini Charger,Electronics,139.46,False
96,SKU-00096,Pro Mug,Apparel,98.12,False
97,SKU-00097,Mini Gadget,Grocery,204.0,True
98,SKU-00098,Deluxe Lamp,Apparel,57.47,True
99,SKU-00099,Ultra Bottle,Home,256.68,True
100,SKU-00100,Compact Bottle,Toys,210.86,True
101,SKU-00101,Deluxe Mug,Toys,324.28,False
102,SKU-00102,Pro Bottle,Electronics,44.86,True
103,SKU-00103,Eco Lamp,Toys,442.54,True
104,SKU-00104,Mini Bottle,Books,451.24,False
105,SKU-00105,Mini Lamp,Books,156.24,True
106,SKU-00106,Compact Widget,Toys,173.97,True
107,SKU-00107,Ultra Charger,Grocery,333.94,True
108,SKU-00108,Ultra Lamp,Home,45.46,True
109,SKU-00109,Ultra Widget,Home,68.43,True
110,SKU-00110,Pro Bottle,Home,386.52,True
111,SKU-00111,Deluxe Bottle,Apparel,40.65,True
112,SKU-00112,Eco Lamp,Electronics,64.48,True
113,SKU-00113,Eco Widget,Books,235.39,True
114,SKU-00114,Compact Bottle,Books,452.77,True
115,SKU-00115,Compact Bottle,Toys,119.85,True
116,SKU-00116,Ultra Charger,Books,464.7,True
117,SKU-00117,Pro Charger,Grocery,267.67,True
118,SKU-00118,Deluxe Bottle,Books,351.95,True
119,SKU-00119,Eco Bottle,Home,17.68,False
120,SKU-00120,Ultra Bottle,Home,92.24,True
121,SKU-00121,Eco Gadget,Apparel,54.51,True
122,SKU-00122,Deluxe Mug,Grocery,108.19,True
123,SKU-00123,Compact Widget,Books,362.54,True
124,SKU-00124,Pro Gadget,Books,472.24,True
125,SKU-00125,Mini Mug,Apparel,486.44,True
126,SKU-00126,Pro Lamp,Books,344.9,True
127,SKU-00127,Compact Lamp,Apparel,101.02,True
128,SKU-00128,Ultra Gadget,Electronics,150.63,True
129,SKU-00129,Deluxe Charger,Electronics,283.83,True
130,SKU-00130,Eco Charger,Apparel,115.95,True
131,SKU-00131,Ultra Lamp,Grocery,194.7,True
132,SKU-00132,Ultra Widget,Electronics,140.42,True
133,SKU-00133,Deluxe Widget,Toys,382.03,True
134,SKU-00134,Ultra Charger,Grocery,120.98,True
135,SKU-00135,Eco Mug,Electronics,11.54,False
136,SKU-00136,Deluxe Charger,Apparel,433.87,True
137,SKU-00137,Pro Bottle,Home,240.38,True
138,SKU-00138,Compact Mug,Electronics,484.54,True
139,SKU-00139,Pro Gadget,Home,179.98,True
140,SKU-00140,Mini Charger,Home,498.1,True
141,SKU-00141,Mini Lamp,Books,411.84,False
142,SKU-00142,Deluxe Charger,Books,40.09,True
143,SKU-00143,Compact Bottle,Home,438.07,True
144,SKU-00144,Pro Gadget,Home,157.06,True
145,SKU-00145,Deluxe Bottle,Books,216.86,True
146,SKU-00146,Deluxe Bottle,Grocery,318.75,True
147,SKU-00147,Deluxe Bottle,Books,19.48,True
148,SKU-00148,Pro Widget,Grocery,210.76,True
149,SKU-00149,Pro Bottle,Toys,323.27,False
150,SKU-00150,Pro Widget,Apparel,383.54,True
151,SKU-00151,Eco Bottle,Books,46.07,True
152,SKU-00152,Deluxe Gadget,Home,192.98,True
153,SKU-00153,Deluxe Widget,Books,183.67,True
154,SKU-00154,Compact Gadget,Books,95.58,True
155,SKU-00155,Pro Gadget,Electronics,121.28,True
156,SKU-00156,Compact Mug,Grocery,152.67,True
157,SKU-00157,Ultra Mug,Electronics,136.59,True
158,SKU-00158,Compact Charger,Grocery,339.72,True
159,SKU-00159,Ultra Charger,Electronics,424.6,True
160,SKU-00160,Ultra Bottle,Grocery,381.45,True
161,SKU-00161,Eco Bottle,Books,247.66,True
162,SKU-00162,Compact Mug,Toys,286.19,True
163,SKU-00163,Ultra Charger,Books,294.21,True
164,SKU-00164,Mini Gadget,Electronics,414.75,True
165,SKU-00165,Compact Widget,Toys,361.12,False
166,SKU-00166,Mini Widget,Electronics,348.49,False
167,SKU-00167,Mini Gadget,Toys,425.18,False
168,SKU-00168,Deluxe Bottle,Electronics,281.96,True
169,SKU-00169,Eco Gadget,Grocery,30.63,False
170,SKU-00170,Ultra Charger,Books,246.55,True
171,SKU-00171,Ultra Charger,Toys,54.79,True
172,SKU-00172,Pro Lamp,Home,438.64,True
173,SKU-00173,Pro Gadget,Grocery,208.97,True
174,SKU-00174,Deluxe Charger,Books,84.66,True
175,SKU-00175,Ultra Lamp,Home,199.95,False
176,SKU-00176,Eco Bottle,Grocery,260.1,True
177,SKU-00177,Pro Gadget,Home,460.31,True
178,SKU-00178,Ultra Widget,Electronics,482.53,True
179,SKU-00179,Mini Mug,Home,333.3,False
180,SKU-00180,Deluxe Charger,Grocery,76.67,True
181,SKU-00181,Ultra Mug,Books,496.92,True
182,SKU-00182,Deluxe Widget,Home,119.41,True
183,SKU-00183,Pro Widget,Grocery,499.22,False
184,SKU-00184,Ultra Charger,Books,38.36,True
185,SKU-00185,Pro Lamp,Apparel,484.43,False
186,SKU-00186,Ultra Charger,Apparel,443.62,True
187,SKU-00187,Pro Lamp,Apparel,338.08,True
188,SKU-00188,Eco Mug,Grocery,244.69,True
189,SKU-00189,Compact Mug,Toys,267.87,True
190,SKU-00190,Pro Widget,Toys,100.6,True
191,SKU-00191,Deluxe Gadget,Toys,228.02,True
192,SKU-00192,Ultra Bottle,Toys,179.8,True
193,SKU-00193,Pro Mug,Home,25.63,True
194,SKU-00194,Eco Charger,Home,167.62,True
195,SKU-00195,Eco Bottle,Electronics,468.55,True
196,SKU-00196,Pro Bottle,Books,42.49,True
197,SKU-00197,Deluxe Widget,Electronics,325.73,True
198,SKU-00198,Eco Bottle,Electronics,39.61,True
199,SKU-00199,Ultra Mug,Home,375.98,False
200,SKU-00200,Eco Gadget,Apparel,342.31,False
201,SKU-00201,Deluxe Mug,Toys,369.99,True
202,SKU-00202,Deluxe Mug,Toys,291.29,False
203,SKU-00203,Compact Widget,Books,277.86,True
204,SKU-00204,Mini Bottle,Books,83.84,True
205,SKU-00205,Compact Charger,Electronics,410.89,True
206,SKU-00206,Mini Bottle,Books,165.6,True
207,SKU-00207,Eco Mug,Home,121.42,True
208,SKU-00208,Mini Widget,Home,76.8,True
209,SKU-00209,Pro Widget,Toys,35.7,False
210,SKU-00210,Deluxe Widget,Electronics,477.01,False
211,SKU-00211,Deluxe Widget,Books,223.36,True
212,SKU-00212,Deluxe Widget,Electronics,55.4,False
213,SKU-00213,Mini Charger,Toys,132.56,True
214,SKU-00214,Eco Mug,Electronics,11.74,True
215,SKU-00215,Pro Charger,Home,110.82,True
216,SKU-00216,Ultra Charger,Home,200.74,True
217,SKU-00217,Ultra Lamp,Apparel,235.35,True
218,SKU-00218,Ultra Lamp,Toys,208.46,True
219,SKU-00219,Mini Gadget,Electronics,151.53,True
220,SKU-00220,Eco Charger,Toys,68.37,True
221,SKU-00221,Pro Widget,Electronics,318.0,True
222,SKU-00222,Eco Lamp,Home,289.81,True
223,SKU-00223,Mini Charger,Books,338.48,True
224,SKU-00224,Mini Mug,Home,493.55,True
225,SKU-00225,Pro Mug,Books,487.15,True
226,SKU-00226,Compact Bottle,Home,422.85,True
227,SKU-00227,Compact Lamp,Books,459.62,False
228,SKU-00228,Deluxe Mug,Electronics,485.99,True
229,SKU-00229,Pro Mug,Electronics,144.68,False
230,SKU-00230,Deluxe Charger,Electronics,65.18,True
231,SKU-00231,Ultra Charger,Home,78.46,True
232,SKU-00232,Ultra Gadget,Grocery,469.48,True
233,SKU-00233,Ultra Gadget,Home,428.19,True
234,SKU-00234,Mini Widget,Toys,434.55,False
235,SKU-00235,Compact Mug,Electronics,372.33,True
236,SKU-00236,Compact Mug,Electronics,99.83,True
237,SKU-00237,Eco Gadget,Home,185.04,False
238,SKU-00238,Pro Lamp,Home,12.5,True
239,SKU-00239,Pro Bottle,Books,453.57,True
240,SKU-00240,Mini Widget,Toys,49.22,True
241,SKU-00241,Eco Lamp,Electronics,394.47,True
242,SKU-00242,Deluxe Mug,Home,465.09,True
243,SKU-00243,Ultra Widget,Grocery,169.8,True
244,SKU-00244,Compact Bottle,Apparel,303.3,True
245,SKU-00245,Eco Widget,Electronics,344.53,True
246,SKU-00246,Compact Mug,Electronics,252.68,True
247,SKU-00247,Compact Mug,Toys,29.63,False
248,SKU-00248,Ultra Gadget,Electronics,442.33,True
249,SKU-00249,Mini Charger,Grocery,357.18,True
250,SKU-00250,Ultra Charger,Home,118.85,True
251,SKU-00251,Pro Charger,Electronics,415.98,False
252,SKU-00252,Pro Widget,Electronics,493.03,True
253,SKU-00253,Pro Widget,Apparel,498.26,True
254,SKU-00254,Mini Lamp,Apparel,139.07,True
255,SKU-00255,Pro Charger,Electronics,79.54,False
256,SKU-00256,Ultra Bottle,Books,483.12,True
257,SKU-00257,Deluxe Bottle,Electronics,384.35,True
258,SKU-00258,Deluxe Mug,Electronics,276.27,True
259,SKU-00259,Compact Lamp,Electronics,439.31,True
260,SKU-00260,Deluxe Charger,Books,194.86,False
261,SKU-00261,Mini Charger,Electronics,94.45,True
262,SKU-00262,Pro Bottle,Toys,23.9,True
263,SKU-00263,Compact Bottle,Books,103.1,False
264,SKU-00264,Eco Gadget,Home,115.63,True
265,SKU-00265,Ultra Widget,Apparel,324.14,True
266,SKU-00266,Mini Mug,Apparel,456.78,True
267,SKU-00267,Deluxe Gadget,Grocery,117.9,True
268,SKU-00268,Compact Charger,Toys,495.42,True
269,SKU-00269,Eco Mug,Electronics,466.36,True
270,SKU-00270,Mini Lamp,Grocery,323.61,True
271,SKU-00271,Ultra Bottle,Grocery,237.69,True
272,SKU-00272,Pro Gadget,Grocery,439.69,True
273,SKU-00273,Ultra Charger,Grocery,401.36,True
274,SKU-00274,Compact Charger,Electronics,155.62,False
275,SKU-00275,Compact Lamp,Toys,496.43,True
276,SKU-00276,Ultra Mug,Toys,104.79,True
277,SKU-00277,Ultra Bottle,Home,80.89,True
278,SKU-00278,Pro Widget,Grocery,86.56,True
279,SKU-00279,Compact Bottle,Apparel,129.56,False
280,SKU-00280,Mini Charger,Apparel,127.63,True
281,SKU-00281,Pro Bottle,Apparel,499.66,True
282,SKU-00282,Compact Widget,Apparel,459.28,True
283,SKU-00283,Deluxe Gadget,Grocery,357.73,True
284,SKU-00284,Pro Widget,Grocery,369.26,True
285,SKU-00285,Eco Gadget,Toys,245.42,True
286,SKU-00286,Deluxe Gadget,Grocery,174.69,False
287,SKU-00287,Compact Widget,Grocery,428.12,True
288,SKU-00288,Compact Gadget,Electronics,221.95,True
289,SKU-00289,Eco Mug,Home,117.75,True
290,SKU-00290,Eco Charger,Toys,46.89,True
291,SKU-00291,Pro Mug,Toys,183.71,True
292,SKU-00292,Compact Bottle,Apparel,158.29,True
293,SKU-00293,Compact Lamp,Electronics,215.25,True
294,SKU-00294,Eco Gadget,Electronics,459.14,True
295,SKU-00295,Deluxe Gadget,Books,277.27,True
296,SKU-00296,Compact Bottle,Apparel,409.46,True
297,SKU-00297,Compact Charger,Apparel,69.95,True
298,SKU-00298,Eco Mug,Apparel,200.93,True
299,SKU-00299,Mini Lamp,Home,168.74,True
300,SKU-00300,Pro Widget,Electronics,45.35,True
301,SKU-00301,Ultra Gadget,Books,472.1,True
302,SKU-00302,Mini Lamp,Toys,436.7,True
303,SKU-00303,Compact Gadget,Apparel,194.48,True
304,SKU-00304,Mini Widget,Books,254.06,False
305,SKU-00305,Eco Gadget,Toys,166.18,True
306,SKU-00306,Mini Gadget,Toys,21.35,True
307,SKU-00307,Pro Gadget,Toys,297.3,True
308,SKU-00308,Deluxe Charger,Books,368.27,True
309,SKU-00309,Mini Lamp,Home,175.28,True
310,SKU-00310,Deluxe Widget,Grocery,383.86,False
311,SKU-00311,Mini Charger,Grocery,29.36,True
312,SKU-00312,Compact Gadget,Toys,469.46,True
313,SKU-00313,Ultra Mug,Toys,11.57,True
314,SKU-00314,Mini Mug,Grocery,301.92,True
315,SKU-00315,Deluxe Charger,Grocery,153.03,True
316,SKU-00316,Compact Lamp,Toys,153.49,True
317,SKU-00317,Eco Mug,Apparel,469.28,True
318,SKU-00318,Mini Lamp,Home,270.79,False
319,SKU-00319,Deluxe Mug,Electronics,299.1,True
320,SKU-00320,Deluxe Charger,Apparel,153.73,True
321,SKU-00321,Mini Gadget,Apparel,175.12,True
322,SKU-00322,Mini Gadget,Books,192.89,True
323,SKU-00323,Deluxe Bottle,Toys,260.95,True
324,SKU-00324,Eco Charger,Apparel,231.39,True
325,SKU-00325,Ultra Mug,Grocery,101.42,False
326,SKU-00326,Eco Charger,Home,172.03,False
327,SKU-00327,Eco Widget,Home,48.53,True
328,SKU-00328,Pro Charger,Books,306.73,True
329,SKU-00329,Eco Widget,Apparel,454.14,True
330,SKU-00330,Deluxe Bottle,Toys,299.69,True
331,SKU-00331,Compact Widget,Grocery,309.84,True
332,SKU-00332,Mini Gadget,Books,214.58,True
333,SKU-00333,Ultra Bottle,Toys,419.05,False
334,SKU-00334,Compact Charger,Toys,218.33,True
335,SKU-00335,Mini Mug,Electronics,84.69,True
336,SKU-00336,Mini Widget,Grocery,448.3,True
337,SKU-00337,Pro Lamp,Toys,91.55,True
338,SKU-00338,Mini Widget,Books,435.3,True
339,SKU-00339,Mini Bottle,Home,271.78,True
340,SKU-00340,Compact Gadget,Home,442.09,True
341,SKU-00341,Compact Charger,Toys,223.8,True
342,SKU-00342,Deluxe Mug,Books,101.45,True
343,SKU-00343,Pro Lamp,Apparel,52.11,True
344,SKU-00344,Eco Mug,Electronics,202.38,True
345,SKU-00345,Eco Lamp,Electronics,268.23,True
346,SKU-00346,Ultra Bottle,Grocery,475.64,True
347,SKU-00347,Compact Gadget,Electronics,172.63,True
348,SKU-00348,Eco Bottle,Books,436.39,True
349,SKU-00349,Mini Gadget,Home,460.82,True
350,SKU-00350,Eco Widget,Books,37.46,True
351,SKU-00351,Mini Charger,Books,334.92,True
352,SKU-00352,Eco Gadget,Home,457.2,True
353,SKU-00353,Ultra Gadget,Books,277.15,True
354,SKU-00354,Eco Mug,Apparel,477.7,True
355,SKU-00355,Pro Mug,Books,409.1,False
356,SKU-00356,Mini Bottle,Books,342.41,True
357,SKU-00357,Deluxe Bottle,Home,490.94,True
358,SKU-00358,Ultra Charger,Electronics,354.44,True
359,SKU-00359,Deluxe Widget,Books,388.94,False
360,SKU-00360,Eco Gadget,Home,484.05,True
361,SKU-00361,Mini Lamp,Home,88.37,True
362,SKU-00362,Mini Mug,Electronics,429.65,True
363,SKU-00363,Pro Gadget,Home,304.13,False
364,SKU-00364,Pro Widget,Electronics,430.82,True
365,SKU-00365,Ultra Gadget,Electronics,397.35,True
366,SKU-00366,Deluxe Lamp,Electronics,118.18,True
367,SKU-00367,Pro Bottle,Books,314.85,False
368,SKU-00368,Deluxe Mug,Grocery,347.02,True
369,SKU-00369,Ultra Charger,Grocery,246.95,True
370,SKU-00370,Ultra Gadget,Electronics,359.54,True
371,SKU-00371,Compact Bottle,Apparel,258.58,True
372,SKU-00372,Mini Lamp,Apparel,440.1,True
373,SKU-00373,Eco Lamp,Grocery,60.96,True
374,SKU-00374,Deluxe Bottle,Apparel,484.13,True
375,SKU-00375,Eco Widget,Electronics,402.55,True
376,SKU-00376,Ultra Bottle,Home,415.25,True
377,SKU-00377,Mini Bottle,Grocery,233.07,True
378,SKU-00378,Compact Gadget,Toys,43.19,True
379,SKU-00379,Compact Charger,Home,455.56,True
380,SKU-00380,Pro Charger,Books,312.65,True
381,SKU-00381,Deluxe Gadget,Grocery,423.11,False
382,SKU-00382,Compact Charger,Electronics,26.77,True
383,SKU-00383,Deluxe Gadget,Toys,234.71,True
384,SKU-00384,Mini Widget,Home,24.43,True
385,SKU-00385,Compact Widget,Electronics,203.44,False
386,SKU-00386,Mini Lamp,Grocery,367.04,True
387,SKU-00387,Ultra Bottle,Electronics,493.54,True
388,SKU-00388,Pro Charger,Toys,81.89,True
389,SKU-00389,Pro Lamp,Home,268.9,False
390,SKU-00390,Eco Bottle,Grocery,253.53,True
391,SKU-00391,Deluxe Lamp,Home,74.77,True
392,SKU-00392,Ultra Bottle,Apparel,43.49,True
393,SKU-00393,Pro Lamp,Books,487.3,True
394,SKU-00394,Eco Charger,Electronics,300.61,True
395,SKU-00395,Compact Bottle,Apparel,123.79,True
396,SKU-00396,Mini Mug,Grocery,239.59,True
397,SKU-00397,Mini Widget,Books,273.34,True
398,SKU-00398,Mini Mug,Electronics,438.42,True
399,SKU-00399,Pro Bottle,Apparel,287.62,True
400,SKU-00400,Pro Charger,Electronics,28.29,False
401,SKU-00401,Compact Widget,Books,174.79,True
402,SKU-00402,Eco Mug,Toys,164.31,True
403,SKU-00403,Compact Lamp,Home,188.36,True
404,SKU-00404,Deluxe Bottle,Grocery,93.75,False
405,SKU-00405,Pro Mug,Home,182.78,True
406,SKU-00406,Compact Charger,Apparel,74.26,True
407,SKU-00407,Compact Gadget,Grocery,457.59,True
408,SKU-00408,Ultra Widget,Home,454.66,True
409,SKU-00409,Ultra Gadget,Books,459.13,True
410,SKU-00410,Mini Mug,Home,470.11,False
411,SKU-00411,Compact Mug,Electronics,477.12,True
412,SKU-00412,Deluxe Lamp,Toys,247.17,True
413,SKU-00413,Deluxe Mug,Grocery,266.77,True
414,SKU-00414,Mini Mug,Electronics,188.55,False
415,SKU-00415,Mini Charger,Electronics,221.05,False
416,SKU-00416,Eco Charger,Electronics,376.01,False
417,SKU-00417,Compact Bottle,Electronics,227.82,False
418,SKU-00418,Mini Lamp,Apparel,66.32,True
419,SKU-00419,Eco Gadget,Books,14.37,True
420,SKU-00420,Eco Gadget,Toys,446.44,True
421,SKU-00421,Deluxe Widget,Books,448.27,True
422,SKU-00422,Compact Widget,Grocery,53.82,True
423,SKU-00423,Mini Charger,Electronics,28.72,True
424,SKU-00424,Ultra Mug,Apparel,50.13,True
425,SKU-00425,Eco Mug,Books,81.94,True
426,SKU-00426,Mini Charger,Books,202.01,True
427,SKU-00427,Ultra Charger,Home,160.99,True
428,SKU-00428,Mini Lamp,Apparel,391.74,True
429,SKU-00429,Ultra Charger,Books,357.5,False
430,SKU-00430,Ultra Charger,Toys,39.85,True
431,SKU-00431,Eco Lamp,Books,29.73,True
432,SKU-00432,Ultra Charger,Home,130.89,True
433,SKU-00433,Pro Mug,Books,10.25,False
434,SKU-00434,Deluxe Widget,Apparel,394.72,True
435,SKU-00435,Mini Widget,Toys,487.09,True
436,SKU-00436,Compact Charger,Grocery,384.08,True
437,SKU-00437,Eco Bottle,Grocery,182.12,True
438,SKU-00438,Ultra Bottle,Toys,223.38,True
439,SKU-00439,Deluxe Mug,Apparel,100.08,True
440,SKU-00440,Deluxe Bottle,Electronics,336.28,True
441,SKU-00441,Deluxe Lamp,Apparel,116.75,True
442,SKU-00442,Pro Lamp,Toys,174.31,True
443,SKU-00443,Mini Widget,Home,169.99,True
444,SKU-00444,Compact Charger,Home,295.83,True
445,SKU-00445,Mini Bottle,Toys,18.66,False
446,SKU-00446,Mini Mug,Apparel,242.4,True
447,SKU-00447,Ultra Lamp,Grocery,197.12,True
448,SKU-00448,Pro Gadget,Electronics,60.36,False
449,SKU-00449,Deluxe Gadget,Toys,5.39,True
450,SKU-00450,Eco Mug,Grocery,19.11,True
451,SKU-00451,Pro Lamp,Apparel,449.98,True
452,SKU-00452,Ultra Widget,Books,460.22,True
453,SKU-00453,Pro Lamp,Books,323.21,True
454,SKU-00454,Ultra Mug,Books,444.18,False
455,SKU-00455,Ultra Lamp,Electronics,389.42,True
456,SKU-00456,Pro Charger,Grocery,103.55,True
457,SKU-00457,Pro Widget,Books,476.22,False
458,SKU-00458,Deluxe Lamp,Apparel,283.75,False
459,SKU-00459,Ultra Gadget,Grocery,314.14,True
460,SKU-00460,Eco Bottle,Electronics,460.88,True
461,SKU-00461,Deluxe Widget,Home,58.01,False
462,SKU-00462,Compact Widget,Electronics,488.16,True
463,SKU-00463,Compact Bottle,Books,356.42,True
464,SKU-00464,Deluxe Widget,Books,367.98,True
465,SKU-00465,Pro Charger,Home,128.72,True
466,SKU-00466,Deluxe Bottle,Apparel,57.34,True
467,SKU-00467,Deluxe Mug,Books,234.56,True
468,SKU-00468,Mini Lamp,Toys,262.84,True
469,SKU-00469,Ultra Bottle,Books,104.82,True
470,SKU-00470,Ultra Charger,Electronics,176.81,True
471,SKU-00471,Deluxe Lamp,Grocery,163.75,True
472,SKU-00472,Compact Gadget,Grocery,319.58,True
473,SKU-00473,Ultra Bottle,Electronics,182.41,True
474,SKU-00474,Eco Charger,Apparel,185.97,True
475,SKU-00475,Pro Widget,Electronics,308.51,True
476,SKU-00476,Eco Mug,Electronics,406.66,True
477,SKU-00477,Pro Gadget,Electronics,136.05,False
478,SKU-00478,Eco Gadget,Books,55.87,True
479,SKU-00479,Pro Charger,Home,416.72,True
480,SKU-00480,Ultra Charger,Books,109.68,True
481,SKU-00481,Ultra Bottle,Electronics,183.57,False
482,SKU-00482,Eco Mug,Books,492.25,True
483,SKU-00483,Mini Widget,Apparel,230.83,True
484,SKU-00484,Pro Widget,Home,72.55,True
485,SKU-00485,Deluxe Charger,Toys,273.66,True
486,SKU-00486,Mini Bottle,Apparel,448.37,True
487,SKU-00487,Compact Mug,Books,477.82,True
488,SKU-00488,Deluxe Widget,Grocery,153.34,True
489,SKU-00489,Compact Mug,Home,445.81,True
490,SKU-00490,Eco Bottle,Home,166.25,True
491,SKU-00491,Ultra Bottle,Grocery,298.98,False
492,SKU-00492,Ultra Lamp,Books,393.81,False
493,SKU-00493,Compact Lamp,Apparel,244.37,True
494,SKU-00494,Compact Mug,Home,246.18,True
495,SKU-00495,Compact Mug,Books,189.22,True
496,SKU-00496,Ultra Charger,Home,498.5,True
497,SKU-00497,Mini Charger,Grocery,10.73,True
498,SKU-00498,Pro Widget,Home,261.4,True
499,SKU-00499,Mini Gadget,Toys,191.81,True
500,SKU-00500,Eco Charger,Apparel,290.54,True
501,SKU-00501,Eco Charger,Electronics,70.63,True
502,SKU-00502,Deluxe Charger,Grocery,104.12,True
503,SKU-00503,Ultra Mug,Electronics,71.0,True
504,SKU-00504,Ultra Mug,Apparel,249.33,True
505,SKU-00505,Compact Mug,Apparel,139.78,True
506,SKU-00506,Deluxe Gadget,Electronics,80.74,False
507,SKU-00507,Ultra Mug,Toys,259.73,True
508,SKU-00508,Compact Gadget,Home,133.96,True
509,SKU-00509,Deluxe Bottle,Electronics,61.22,True
510,SKU-00510,Deluxe Bottle,Grocery,116.29,True
511,SKU-00511,Deluxe Gadget,Electronics,466.71,True
512,SKU-00512,Pro Bottle,Books,52.99,True
513,SKU-00513,Mini Gadget,Books,55.13,True
514,SKU-00514,Eco Lamp,Electronics,205.99,True
